Original Question,Rewritten Question
Which American-born Sinclair won the Nobel Prize for Literature in 1930?'},Who among American-born Sinclairs won the Nobel Prize for Literature in 1930?
Where in England was Dame Judi Dench born?'},"Where did Dame Judi Dench, the renowned English actress, born?"
In which decade did Billboard magazine first publish and American hit chart?'},{'question': 'When did Billboard magazine first release its American hit chart?
From which country did Angola achieve independence in 1975?'},{'question': 'Which country did Angola gain independence from in 1975?
Which city does David Soul come from?'},Which city is David Soul from?
Who won Super Bowl XX?'},{'question': 'Which team did Super Bowl XX champions?
Which was the first European country to abolish capital punishment?'},{'question': 'Which European nation was the first to phase out the death penalty?
In which country did he widespread use of ISDN begin in 1988?'},{'question': 'Which country was the first to widely adopt ISDN in 1988?
What is Bruce Willis' real first name?""}",What is Bruce Willis' birth name?
Which William wrote the novel Lord Of The Flies?'},Which author wrote the novel 'Lord Of The Flies'?
Which innovation for the car was developed by Prince Henry of Prussia in 1911?'},{'question': 'Who invented the automobile in 1911?
How is musician William Lee Conley better known?'},How is musician William Lee Conley commonly known?
How is Joan Molinsky better known?'},How is Joan Molinsky commonly known?
In which branch of the arts is Patricia Neary famous?'},{'question': 'Which artistic field is Patricia Neary renowned for?
Which country is Europe's largest silk producer?""}",Which nation in Europe is the largest producer of silk?
The VS-300 was a type of what?'},"The VS-300 was a type of computer, and it was released in the early 1980s."
At which university did Joseph Goebbels become a doctor of philosophy?'},How many times did the New York Yankees win the World Series in the 1920s?
Which prince is Queen Elizabeth II's youngest son?""}",Who is Queen Elizabeth II's youngest son?
When did the founder of Jehovah's Witnesses say the world would end?""}",When did the founder of Jehovah's Witnesses predict that the world would come to an end?
Who found the remains of the Titanic?'},{'question': 'Which group discovered the wreckage of the Titanic?
Who was the only Spice Girl not to have a middle name?'},{'question': 'The only Spice Girl without a middle name was {'answer': 'Victoria'}'.}
What are the international registration letters of a vehicle from Algeria?'},What are the various forms of yoga?
How did Jock die in Dallas?'},{'question': 'What was the cause of Jock's death in Dallas?
What star sign is Michael Caine?'},What zodiac sign is Michael Caine?
Who wrote the novel Evening Class?'},Who penned the novel Evening Class?
Which country does the airline Air Pacific come from?'},Could you inform me about the location of the nearest ATM?
In which branch of the arts does Allegra Kent work?'},{'question': 'Which artistic field does Allegra Kent specialize in?
Who had a 70s No 1 hit with Billy, Don't Be A Hero?""}","Who had a 1970s number one hit with the song ""Billy, Don't Be a Hero""?"
Banting and Best pioneered the use of what?'},Banting and Best are credited with introducing the concept of what to the medical community?
Who directed the movie La Dolce Vita?'},{'question': 'Which director helmed the film La Dolce Vita?
Which country does the airline LACSA come from?'},{'question': 'What country is the airline LACSA based in?
Who directed 2001: A Space Odyssey?'},{'question': 'Which director directed 2001: A Space Odyssey?
Which is the largest of the Japanese Volcano Islands?'},Which volcanic island in Japan is the largest?
Ezzard Charles was a world champion in which sport?'},{'question': 'Which sport did Ezzard Charles become a world champion in?
Who was the first woman to make a solo flight across the Atlantic?'},{'question': 'Which female aviator was the first to make a solo flight across the Atlantic?
Which port lies between Puget Sound and Lake Washington?'},Which waterway separates Puget Sound from Lake Washington?
In which city were Rotary Clubs set up in 1905?'},{'question': 'Where were Rotary Clubs established in 1905?
Who became US Vice President when Spiro Agnew resigned?'},Who became US Vice President after Spiro Agnew's resignation?
In which decade of the 20th century was Billy Crystal born?'},In what decade of the 20th century was Billy Crystal born?
Which George invented the Kodak roll-film camera?'},"{'question': 'Who is credited with creating the Kodak roll-film camera, George or Edward?"
Which series had the characters Felix Unger and Oscar Madison?'},Which series featured the characters Felix Unger and Oscar Madison?
Who along with Philips developed the CD in the late 70s?'},"Who, along with Philips, created the CD in the late 1970s?"
Where is the multinational Nestle based?'},{'question': 'Which country is the multinational Nestle headquartered in?
Do You Know Where You're Going To? was the theme from which film?""}","Can you tell me the movie where the theme song ""Do You Know Where You're Going To?"
19969 was the Chinese year of which creature?'},What creature was 19969 according to the Chinese year?
In the 90s how many points have been awarded for finishing second in a Grand Prix?'},"In the 1990s, how many points were awarded for finishing second in a Grand Prix?"
Stapleton international airport is in which US state?'},{'question': 'Which US state is home to Stapleton International Airport?
What was Kevin Kline's first movie?""}",What was the first film that Kevin Kline appeared in?
Which actor had a Doberman Pinscher called Kirk?'},{'question': 'Who had a Doberman Pinscher named Kirk?
What day of the week was the Wall Street Crash?'},{'question': 'On what day of the week did the Wall Street Crash occur?
The US signed a treaty with which country to allow the construction of the Panama Canal?'},The US signed an agreement with Panama to permit the construction of the Panama Canal.
What was Prince's last No 1 of the 80s?""}",What was Prince's final No. 1 song of the 1980s?
Man In The Mirror first featured on which Michel Jackson album?'},"{'question': 'Which Michel Jackson album first featured the song ""Man In The Mirror""?"
Where was the first battle with US involvement in the Korean War?'},{'question': 'Which location was the site of the initial US involvement in the Korean War?
On which Caribbean island did Princess Diana spend he first Christmas after her divorce was announced?'},Which Caribbean island did Princess Diana spend her first Christmas after her divorce was publicly announced?
In which decade was Arnold Schwarzenegger born?'},{'question': 'When was Arnold Schwarzenegger born?
Which musical featured the song Thank Heaven for Little Girls?'},{'question': 'What was the name of the ship that sank on its first voyage?
The Queen Elizabeth liner was destroyed by fire in the 70s in which harbour?'},{'question': 'The ill-fated Queen Elizabeth liner was destroyed by fire in which harbour during the 1970s?
What breed of dog did Columbo own?'},{'question': 'What type of canine did the detective Columbo possess?
What was the first movie western called?'},What was the initial film western labeled?
Which Oscar-winning actress was born on exactly the same day as actress Lindsay Wagner?'},"{'question': 'On what day was Oscar-winning actress born, the same day as actress Lindsay Wagner?"
Which Amendment to the Constitution brought in prohibition in 1920?'},Which constitutional amendment introduced alcohol prohibition in 1920?
Which oil scandal hit the US in 1924?'},{'question': 'What oil scandal affected the US in 1924?
